iter	Passed	Remaining
0	4	742
1	9	714
2	16	816
3	21	783
4	25	753
5	30	735
6	35	722
7	39	708
8	46	730
9	51	718
10	55	707
11	61	701
12	65	692
13	70	683
14	75	675
15	79	668
16	84	662
17	89	658
18	94	650
19	99	644
20	103	637
21	108	632
22	113	626
23	118	620
24	122	614
25	127	607
26	131	600
27	136	594
28	140	587
29	145	581
30	149	575
31	154	569
32	159	563
33	163	559
34	168	554
35	173	550
36	178	545
37	183	539
38	187	533
39	192	528
40	196	523
41	202	519
42	207	515
43	215	518
44	221	516
45	226	512
46	231	507
47	237	504
48	243	500
49	248	496
50	253	491
51	258	487
52	263	482
53	268	477
54	273	472
55	278	467
56	284	463
57	289	458
58	294	454
59	300	450
60	305	445
61	310	441
62	316	436
63	321	431
64	326	426
65	331	422
66	336	417
67	341	412
68	347	407
69	352	402
70	357	397
71	362	393
72	367	387
73	372	382
74	378	378
75	384	374
76	389	369
77	395	364
78	400	359
79	406	355
80	411	350
81	417	346
82	422	341
83	427	335
84	432	330
85	437	325
86	442	320
87	447	315
88	452	309
89	457	304
90	461	299
91	467	294
92	473	290
93	478	285
94	484	280
95	490	275
96	496	271
97	501	266
98	507	261
99	513	256
100	518	251
101	524	246
102	530	242
103	535	237
104	541	232
105	546	227
106	552	221
107	558	217
108	564	212
109	570	207
110	575	202
111	581	197
112	587	192
113	593	187
114	598	182
115	604	177
116	610	172
117	616	167
118	622	162
119	627	156
120	632	151
121	638	146
122	643	141
123	648	135
124	653	130
125	659	125
126	663	120
127	668	114
128	673	109
129	678	104
130	683	99
131	688	93
132	693	88
133	698	83
134	703	78
135	708	72
136	712	67
137	717	62
138	722	57
139	727	51
140	731	46
141	736	41
142	742	36
143	747	31
144	752	25
145	757	20
146	762	15
147	768	10
148	773	5
149	778	0
